microRNA,R_squared
hsa-miR-3613-5p,0.761031624705818
hsa-miR-3605-3p,0.759921867406429
hsa-miR-1273h-3p,0.759540704281577
hsa-miR-4772-3p,0.759063735832289
hsa-miR-193b-5p,0.758953370422301
hsa-miR-138-5p,0.758672001849393
hsa-miR-23a-3p,0.757484883376178
hsa-miR-519b-3p,0.756588145131596
hsa-miR-196a-5p,0.756088237495137
hsa-miR-668-3p,0.755761489933986
hsa-miR-99a-3p,0.755640494822574
hsa-miR-301a-3p,0.755519306435249
hsa-miR-664a-3p,0.755023937216389
hsa-miR-186-5p,0.754831089602787
hsa-miR-629-3p,0.754594203090352
hsa-miR-6510-3p,0.75429256971232
hsa-miR-25-5p,0.753568129321823
hsa-miR-671-5p,0.753183625050395
hsa-miR-30b-3p,0.753060764269581
hsa-miR-139-5p,0.752963058058228
hsa-miR-10a-5p,0.75247537915849
hsa-miR-590-3p,0.751830469515946
hsa-miR-151a-3p,0.75135027002041
hsa-miR-302b-5p,0.751246498772261
hsa-miR-577,0.751178979987623
hsa-let-7i-5p,0.751132965678294
hsa-miR-509-3p,0.750756140284822
hsa-miR-345-5p,0.750637655740488
hsa-miR-760,0.750356931402114
hsa-miR-3127-5p,0.750151998441936
hsa-miR-7-1-3p,0.749823416448425
hsa-miR-1-3p,0.749493301955899
hsa-miR-552-3p,0.749219116434721
hsa-miR-30d-3p,0.748399471559578
hsa-miR-379-5p,0.747483126514833
hsa-miR-512-5p,0.747137917949524
hsa-miR-30c-5p,0.746869904019672
hsa-miR-106a-5p,0.746686968249938
hsa-miR-708-5p,0.74623609855979
hsa-miR-629-5p,0.745801296357204
hsa-let-7b-3p,0.745500429495553
hsa-miR-378c,0.745429729758799
hsa-miR-519d-5p,0.745162472970706
hsa-miR-425-5p,0.744893769497445
hsa-miR-589-5p,0.744839614737775
hsa-miR-4731-5p,0.744834259886253
hsa-miR-433-3p,0.744352522205775
hsa-miR-511-5p,0.744228569877869
hsa-miR-874-3p,0.743739372323891
hsa-miR-24-3p,0.743152066117549
hsa-miR-518d-3p,0.741972906674
hsa-miR-365b-3p,0.741447967598025
hsa-miR-664b-3p,0.740890843106054
hsa-miR-215-3p,0.740331353597565
hsa-miR-125b-1-3p,0.740078305641108
hsa-miR-381-3p,0.739501132205356
hsa-miR-27b-3p,0.738978664937742
hsa-miR-185-3p,0.738391239529601
hsa-miR-127-5p,0.737949686884765
hsa-miR-195-5p,0.737860511475837
hsa-miR-1224-5p,0.737788572033654
hsa-miR-523-3p,0.73777343552399
hsa-miR-146b-5p,0.737606081508223
hsa-miR-143-5p,0.73757548919349
hsa-miR-520e-3p,0.73747318034652
hsa-let-7e-5p,0.737441320297187
hsa-miR-31-5p,0.737208166870567
hsa-miR-1976,0.736946419002831
hsa-miR-320a-3p,0.7368967721147
hsa-miR-520b-3p,0.736708214681328
hsa-miR-139-3p,0.736009747344074
hsa-miR-550a-5p,0.734977776025672
hsa-miR-153-5p,0.734581098741435
hsa-miR-10b-3p,0.733339475437061
hsa-miR-515-5p,0.733027939459035
hsa-miR-552-5p,0.73302343664348
hsa-miR-501-5p,0.732979187248075
hsa-miR-520c-3p,0.732805972099856
hsa-miR-135b-3p,0.732672034686743
hsa-miR-487b-5p,0.732665553075053
hsa-miR-885-3p,0.732235455733042
hsa-miR-29a-3p,0.732189302696406
hsa-miR-30e-3p,0.731917929498083
hsa-miR-1307-5p,0.731652158101738
hsa-miR-136-3p,0.73161209575889
hsa-miR-518f-3p,0.731284267718385
hsa-miR-365a-3p,0.731198417997132
hsa-miR-323a-5p,0.731101444182741
hsa-miR-16-1-3p,0.730533887628702
hsa-miR-362-5p,0.7303127659658
hsa-miR-324-5p,0.729785206864084
hsa-miR-31-3p,0.729587146928975
hsa-miR-103a-3p,0.729393640969092
hsa-miR-1293,0.729343798485963
hsa-miR-520d-5p,0.728456432533547
hsa-miR-6509-5p,0.728404453424315
hsa-miR-455-3p,0.727417104974028
hsa-miR-423-5p,0.72693344230679
hsa-miR-488-5p,0.726076710269116
hsa-miR-3917,0.725591328148345
hsa-miR-129-5p,0.725108349893306
hsa-miR-152-3p,0.724289660873837
hsa-miR-940,0.723716001085823
hsa-miR-3928-3p,0.723289193344465
hsa-miR-651-5p,0.722695028555736
hsa-miR-526b-3p,0.722270678461444
hsa-miR-33a-5p,0.722171285237326
